正解文,学習者訳,label,sim,,
I always go for a walk for about half an hour before breakfast.,I make it a rule to take a walk for half an hour before every breakfast.,正解文,0.91 ,,
the bride and groom are leaving on their honeymoon on the 5:30 express.,The bloom and bride will be going to their honeymoon on the express train five thirty ,正解文,0.74 ,,
"When we got to the airport, the airplane had already left.","When we arrived at the airport, the plane had already taken off.",正解文,0.83 ,,
"The traffic was heavy, so my bus came twenty minutes late.",Because bus was late in 20minuites according to traffic jam. ,正解文,0.67 ,,
The climate in Tokyo is much milder than that in my hometown.,The climate in Tokyo is much milder than in my hometown.,正解文,0.99 ,,
This motorbike is about twice as expensive in the U.K as in Japan.,"In England,this bike is twice as expensive as in Japan.",正解文,0.78 ,,
Could you tell me whether the 9 a.m Shinkansen stopes at Shizuoka?,Please tell me if the Shinkansen leaving at 9 a.m. stops at Shizuoka.,正解文,0.90 ,,
"If he had been on the train, he would have been in the accident.","If he ride the train, he might have been involved in the accident.",正解文,0.91 ,,
It is said that seven out of ten young Japanse people don't believe in religion.,It is said that seven in ten Japanese young people is non-religious.,正解文,0.80 ,,
The climate in Tokyo is much milder than that in my hometown.,The climate of Tokyo is much milder than that of my hometown.,正解文,0.98 ,,
What is the first thing you do after you get up?,What do you do first when you get up.,正解文,0.89 ,,
"At first I thought Tom was joking, but later I realized he was serious.","At first I thought Tom told a joke, but later I found out he was serious.",正解文,0.90 ,,
Living in Canada was not as expensive as I thought it would be.,Life in Canada was not as expensive as I thoght.,正解文,0.88 ,,
That detective story was so good I couldn't put it down until two this morning.,"I stayed up late until 2 a.m.last night,because I was so absorbed in that detective novel.",正解文,0.63 ,,
Humans learn to express what they think by the age of five or six.,"By the age of 5-6, humans will have the ability to express what they think.",正解文,0.84 ,,
It never occurred to me that my remark might hurt her feelings.,I don't expected I hurt her with my comment .,正解文,0.62 ,,
These days the weather is changeable. ,"Recently, the weather is so changeable.",正解文,0.87 ,,
I lived in Canada for three years when I was in my teens because my father was transferred there.,"When I was a teenager, I had lived in Canada for three years with my father's job ",正解文,0.84 ,,
Most Japanese people spend most of their time working to live.,Most Japanese spend most of their time to work to live.,正解文,0.96 ,,
"Last Sunday I tried making some Italian food for the first time, and it was delicious. ","Last Sunday, I tried to cook Italian even for the first time though, those were quite tasty. ",正解文,0.88 ,,
We’ve had more snow than usual this winter.,There is more snow this year than usual.,正解文,0.85 ,,
"I have been driving for almost thirty years, but fortunately I have never had an accident.","I have been driving a car almost for thirty years, but I have no car accidents fortunately.",正解文,0.89 ,,
What is the first thing you do after you get up?,"What do you do first ,when you wake up the morning?",正解文,0.63 ,,
"I have been driving for almost thirty years, but fortunately I have never had an accident.",I fortunately haven't got a car accident for 30 years since I started driving a car.,正解文,0.80 ,,
"In some countries people have too much food, while in others tens of thousands of children are starving.","Some countries have plenty of foods, and some countries have thousands of famine children to die.",正解文,0.76 ,,
It’s pouring down outside. I think it would be better to stay here a little longer.,"It's raining terribly outside, so it is better for you to stay here for a a while.",正解文,0.59 ,,
"If he stays home from school for a few days, he will get over his cold.","If he is absent from school and stays home, he must be able to get over his cold within a few days.",正解文,0.93 ,,
It is a pity that many Japanese people mistakenly believe that they have only to speak English to be internationally-minded.,"There are many Japanease people who misunderstand that they become international people, only if they are able to speak English.",正解文,0.80 ,,
It would be dangerous to drink two bottles of whiskey and drive a car.,It is dangerous to drive a car after you drink two bottles of whiskey.,正解文,0.96 ,,
Nothing is as beautiful as a mother’s love for her children.,There is nothing more beautiful than a mother's love for her child.,正解文,0.89 ,,
Most people love their hometown.,Few people feel no affection for their hometown.,正解文,0.54 ,,
